campaign_id,product_type,campaign_type,location,audience_size,budget,ad_text,hashtags,image_brightness,image_colorfulness,cta_strength,expected_engagement_rate,actual_leads,currency
FIN01002,Finance,Engagement,Thoothukudi,221949,528,Discover amazing finance deals! Download App now!,#Launch #Marketing #BrandDeal,0.585010446498045,0.8911576023060208,0.6818145878000573,1.0,620,INR
TEC01934,Technology,Brand Awareness,Tiruchirappalli,601152,1236,Discover amazing technology deals! Get Offer now!,#Sale #BrandDeal,0.5480701979676119,0.3419487618178909,0.1892426189263787,1.0,756,INR
BEA01481,Beauty,Traffic,Kanchipuram,499888,529,Discover amazing beauty deals! Learn More now!,#Viral #BestChoice,0.5558327576320456,0.7284309942525928,0.6847992545397502,1.0,327,INR
TEC01992,Technology,Leads,Kanniyakumari,125543,605,Discover amazing technology deals! Sign Up now!,#InstaAd #Viral #Promo #NewProduct,0.4472183504301857,0.708699884340415,0.4395580789098173,1.0,335,INR
TEC01771,Technology,Brand Awareness,Thanjavur,258319,115,Discover amazing technology deals! Try Free now!,#NewProduct #Trending #Promo #Discount,0.377525902195101,1.0,0.6248897119962279,1.0,75,INR
FIN01090,Finance,Traffic,Vellore,392193,188,Discover amazing finance deals! Learn More now!,#Trending #InstaAd #Promo #Discount,0.5442965284445827,0.6036134889683362,1.0,1.0,256,INR
FAS01576,Fashion,Engagement,Kanchipuram,236187,482,Discover amazing fashion deals! Get Offer now!,#Trending #Viral #BestChoice #Launch,0.4576570758346983,0.5186194250555878,0.1123860368439096,1.0,245,INR
FOO01202,Food,Engagement,Salem,438311,1355,Discover amazing food deals! Learn More now!,#Marketing #Discount,0.5586569079227175,0.6610189542626855,0.3987771884697785,1.0,979,INR
FIN01113,Finance,Conversions,Thoothukudi,476633,691,Discover amazing finance deals! Join Today now!,#LimitedOffer #Sale,0.6579042522530715,0.6293402546790775,0.8261125816647041,1.0,624,INR
FAS01439,Fashion,Brand Awareness,Dindigul,396009,932,Discover amazing fashion deals! Download App now!,#Promo #Marketing #InstaAd,0.1673768346356498,0.7168402016678743,1.0,1.0,491,INR
FIT01250,Fitness,Traffic,Madurai,689089,320,Discover amazing fitness deals! Shop Now now!,#InstaAd #Viral #Promo,0.4893250203423763,0.863867606079114,0.6427117160248114,1.0,375,INR
FIN02237,Finance,Conversions,Thoothukudi,261877,169,Discover amazing finance deals! Get Offer now!,#BestChoice #Sale,0.6143098236567557,0.549113027714255,1.0,1.0,139,INR
FOO01272,Food,Conversions,Thanjavur,324197,1175,Discover amazing food deals! Learn More now!,#Viral #Ad #Marketing,0.8123374392044295,0.4459809325696594,0.8089656564240358,1.0,834,INR
FOO01653,Food,Traffic,Thanjavur,199922,824,Discover amazing food deals! Shop Now now!,#Promo #Trending,0.6279337723329173,0.8307308530933728,0.664087457589713,1.0,922,INR
TEC01249,Technology,Engagement,Vellore,394074,156,Discover amazing technology deals! Shop Now now!,#NewProduct #Discount,0.5115275202631748,0.745001457336989,1.0,1.0,151,INR
FOO02033,Food,Brand Awareness,Salem,463121,324,Discover amazing food deals! Get Offer now!,#LimitedOffer #Ad,0.4962781093039732,0.427592515415106,0.1897521077949783,1.0,201,INR
FAS01582,Fashion,Conversions,Tiruchirappalli,437131,1520,Discover amazing fashion deals! Learn More now!,#Marketing #InstaAd #Viral #Sale,0.6070130529071578,0.9796003062406524,0.0050732785511157,1.0,482,INR
AUT02180,Automobile,Brand Awareness,Vellore,415765,1047,Discover amazing automobile deals! Learn More now!,#Ad #Marketing #InstaAd #Launch,0.8248225641869583,0.753141630517191,0.4576974868866322,1.0,1073,INR
FIN01801,Finance,Leads,Vellore,406884,1606,Discover amazing finance deals! Try Free now!,#Trending #Launch #Discount #Promo,0.617513015990246,0.4371396929033533,1.0,1.0,1552,INR
EDU01658,Education,Engagement,Madurai,625917,240,Discover amazing education deals! Shop Now now!,#LimitedOffer #Trending #BestChoice,0.5333387972537372,0.8923147778584434,0.5442172475319303,1.0,170,INR
AUT02146,Automobile,Leads,Tirunelveli,486429,1187,Discover amazing automobile deals! Join Today now!,#Ad #NewProduct #Discount,0.5369232641215677,0.6414330013489628,0.4249034068430032,1.0,735,INR
BEA01999,Beauty,Leads,Salem,599770,1103,Discover amazing beauty deals! Shop Now now!,#Marketing #Launch,0.4809411616064486,0.7885794590019148,0.7466556857719832,1.0,905,INR
TEC01890,Technology,Conversions,Coimbatore,1698168,1633,Discover amazing technology deals! Shop Now now!,#LimitedOffer #Ad,0.505432013602801,1.0,0.8762244849811369,1.0,1626,INR
AUT01735,Automobile,Leads,Vellore,581342,750,Discover amazing automobile deals! Get Offer now!,#LimitedOffer #NewProduct #Sale,0.9760155205619508,0.6507561346072283,0.7813038493531885,1.0,1251,INR
TEC02197,Technology,Engagement,Nagercoil,250830,600,Discover amazing technology deals! Join Today now!,#Sale #BestChoice #Trending #Launch,0.5046016240302892,0.793101128307908,1.0,1.0,750,INR
AUT02170,Automobile,Leads,Tirupur,215254,1876,Discover amazing automobile deals! Get Offer now!,#Launch #Ad #BestChoice #LimitedOffer,0.7507097238622458,0.5213463514488018,0.8013533998663394,1.0,1900,INR
BEA01713,Beauty,Traffic,Tirunelveli,244238,1994,Discover amazing beauty deals! Learn More now!,#InstaAd #NewProduct,0.7298062455894847,0.5826611837574683,0.8694416415452009,1.0,1350,INR
EDU01743,Education,Leads,Coimbatore,1001252,406,Discover amazing education deals! Shop Now now!,#Launch #Trending #LimitedOffer #NewProduct,0.7191648234082009,0.5300030057870728,0.963799823816938,1.0,456,INR
FIN01340,Finance,Brand Awareness,Nagercoil,139764,1961,Discover amazing finance deals! Learn More now!,#BestChoice #Ad,0.6080894173182247,0.2711568597885404,0.761323683062636,1.0,2744,INR
AUT01097,Automobile,Brand Awareness,Salem,639853,518,Discover amazing automobile deals! Sign Up now!,#BrandDeal #Launch,0.8620761195519087,1.0,0.4436509414937413,1.0,662,INR
FAS01321,Fashion,Engagement,Chennai,9534026,922,Discover amazing fashion deals! Shop Now now!,#NewProduct #Sale,0.5066808244114929,0.5892624515940672,0.9253878141436912,1.0,852,INR
FIT01178,Fitness,Traffic,Nagercoil,153682,1571,Discover amazing fitness deals! Get Offer now!,#Marketing #NewProduct #Discount #Trending,0.5703570957655175,0.6394369557620091,0.9646221581225872,1.0,1493,INR
TEC01875,Technology,Engagement,Dindigul,209494,503,Discover amazing technology deals! Shop Now now!,#Launch #LimitedOffer,0.3521194216983522,0.6421125209035656,0.8947235279618355,1.0,643,INR
TEC02199,Technology,Brand Awareness,Tirunelveli,281317,1111,Discover amazing technology deals! Try Free now!,#Viral #LimitedOffer,0.7297199235472133,0.6900740854088899,0.7051569025951324,1.0,1403,INR
EDU01828,Education,Engagement,Kanchipuram,278587,1875,Discover amazing education deals! Join Today now!,#Viral #BestChoice #Ad #Promo,0.7083991332118832,1.0,0.2380229690799865,1.0,1818,INR
FIT01837,Fitness,Brand Awareness,Nagercoil,336257,181,Discover amazing fitness deals! Sign Up now!,#LimitedOffer #Viral #NewProduct,0.7525933152365343,0.3951243745714428,0.6150523886058238,1.0,139,INR
FOO01589,Food,Brand Awareness,Erode,206949,950,Discover amazing food deals! Learn More now!,#Launch #InstaAd #BrandDeal,0.6594437811047392,0.7762446521006479,0.8120527948854986,1.0,680,INR
