Ad_Type,Platform,Target_Age,Budget,Posting_Time,Caption,Category,Followers,Engagement,Image_File
Image,Instagram,25,5000,Morning,"Discover our new summer collection! ☀️ #fashion #summerstyle #newarrivals",Clothing,10k,2500,image_1.jpg
Video,Facebook,35,10000,Evening,"Our biggest sale of the year is here! 50% off everything. Link in bio! 💻 #sale #deal #tech",Electronic,50k,12000,image_2.jpg
Carousel,Instagram,22,7000,Afternoon,"Swipe to see the magic. Our new foundation gives you a flawless finish. ✨ #makeup #beauty #cosmetic",Cosmetic,50k,7500,image_3.jpg
Image,Facebook,30,4000,Morning,"Start your day right with our organic coffee. ☕️ #coffee #morningroutine #organic",Food,5k,1500,image_4.jpg
Video,Instagram,28,12000,Evening,"Behind the scenes of our latest photoshoot. What do you think of this look? 👀 #model #fashion #bts",Clothing,100k,15000,image_5.jpg
Carousel,Facebook,26,8000,Afternoon,"Which one is your favorite? Let us know in the comments! 📚 #books #reading #newrelease",Books,10k,9000,image_6.jpg
Image,Facebook,38,6000,Morning,"Healthy, delicious, and delivered to your door. Order your meal prep today! 🥗 #healthyfood #mealprep #food",Food,1k,4000,image_7.jpg
Video,Facebook,31,9000,Evening,"Unboxing our new smartphone! This camera is a game-changer. 📱 #unboxing #tech #smartphone",Electronic,500k,8500,image_8.jpg
Image,Instagram,24,6500,Afternoon,"Sweater weather is better together. Tag who you'd share this with! 🍂 #fallfashion #cozy #clothing",Clothing,50k,5500,image_9.jpg
Video,Facebook,33,11000,Night,"Struggling to sleep? Our new pillow is scientifically designed for better rest. 😴 #sleep #wellness #health",Electronic,10k,11500,image_10.jpg
Carousel,Instagram,21,7500,Morning,"Our top 3 skincare secrets revealed. Your skin will thank you! 💧 #skincare #beautyhacks #cosmetic",Cosmetic,100k,8200,image_11.jpg
Image,Facebook,40,5500,Afternoon,"A story for the ages. Get your signed copy today. 🖊️ #author #booklover #fiction",Books,5k,3800,image_12.jpg
Video,Instagram,27,15000,Evening,"Giveaway alert! Win a $500 wardrobe. To enter: Like, Follow, and Tag 3 friends. 🎁 #giveaway #contest #fashion",Clothing,500k,35000,image_13.jpg
